Unnamed: 0,Сладкий ,Кислый,Свежий,Травянистый,Терпкий,Пряный,Сливочный,Кофейный,Гастрономия,Алкогольный,Шоколадный,Выпечка,Ореховый,Горький,Лёд,Мята,Хвойный,Приторный
Сладкий ,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет
Кислый,Да,Да,Да,Да,Да,Возможно,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да
Свежий,Да,Да,Да,Да,Да,Нет,Нет,Нет,Возможно,Да,Да,Да,Нет,Нет,Да,Да,Да,Да
Травянистый,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Да
Терпкий,Да,Да,Да,Да,Да,Да,Возможно,Нет,Возможно,Да,Да,Нет,Нет,Да,Да,Возможно,Да,Возможно
Пряный,Да,Возможно,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Возможно,Нет,Нет,Да,Нет
Сливочный,Да,Нет,Нет,Нет,Возможно,Да,Да,Да,Да,Да,Да,Да,Да,Да,Возможно,Да,Нет,Нет
Кофейный,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Возможно,Да,Нет,Да
Гастрономия,Да,Да,Возможно,Да,Возможно,Да,Да,Нет,Да,Возможно,Да,Возможно,Возможно,Возможно,Нет,Возможно,Нет,Нет
Алкогольный,Да,Да,Да,Да,Да,Да,Да,Да,Возможно,Да,Да,Да,Да,Да,Да,Да,Возможно,Возможно
Шоколадный,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Возможно,Да
Выпечка,Да,Да,Да,Нет,Нет,Да,Да,Да,Возможно,Да,Да,Да,Да,Да,Нет,Да,Нет,Да
Ореховый,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Возможно,Да,Да,Да,Да,Да,Нет,Да,Нет,Да
Горький,Да,Нет,Нет,Нет,Да,Возможно,Да,Да,Возможно,Да,Да,Да,Да,Нет,Нет,Да,Нет,Да
Лёд,Да,Да,Да,Да,Да,Нет,Возможно,Возможно,Нет,Да,Возможно,Нет,Нет,Нет,Нет,Да,Да,Да
Мята,Да,Да,Да,Да,Возможно,Нет,Да,Да,Возможно,Да,Да,Да,Да,Да,Да,Нет,Да,Да
Хвойный,Да,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Возможно,Нет,Нет,Нет,Да,Да,Нет,Возможно
Приторный,Нет,Да,Да,Да,Возможно,Нет,Нет,Да,Нет,Возможно,Да,Да,Да,Да,Да,Да,Возможно,Нет
